Pair,Language,Type,Merged,Environment,MinPairs,EntropyLoss,Freq1,Freq2
ai-oi,English(UK),English_ai,1,Unconditioned,7,5,414,45
ai-ei,English(UK),English_ai,0,Unconditioned,63,35,414,471
ai-au,English(UK),English_ai,0,Unconditioned,19,26,414,134
ai-i:,English(UK),English_ai,0,Unconditioned,76,47,414,397
I$-E$,English(UK),English_rhotic,1,Conditioned,22,15,78,89
$:-$$,English(UK),English_rhotic,1,Conditioned,14,10,166,89
I$-i:,English(UK),English_rhotic,0,Conditioned,7,12,78,397
I$-$:,English(UK),English_rhotic,0,Conditioned,11,12,78,166
I$-U$,English(UK),English_rhotic,0,Conditioned,1,6,78,23
$:-i:,English(UK),English_rhotic,0,Conditioned,21,18,166,397
$:-a:,English(UK),English_rhotic,0,Conditioned,13,11,166,250
$:-O:,English(UK),English_rhotic,0,Conditioned,26,18,166,283
$:-u:,English(UK),English_rhotic,0,Conditioned,9,10,166,266
t-d,English(US),English_flapping,1,Conditioned,4,454,289,149
p-b,English(US),English_flapping,0,Conditioned,2,304,105,139
f-v,English(US),English_flapping,0,Conditioned,3,171,118,75
s-z,English(US),English_flapping,0,Conditioned,2,142,90,161
S-Z,English(US),English_flapping,0,Conditioned,0,25,99,14
C-G,English(US),English_flapping,0,Conditioned,0,18,34,42
k-g,English(US),English_flapping,0,Conditioned,0,251,186,58
w-W,English(US),English_wh,1,Unconditioned,7,26,45,291
v-W,English(US),English_wh,0,Unconditioned,1,8,45,296
f-W,English(US),English_wh,0,Unconditioned,10,11,45,508
h-W,English(US),English_wh,0,Unconditioned,15,18,45,244
b-W,English(US),English_wh,0,Unconditioned,15,18,45,627
p-W,English(US),English_wh,0,Unconditioned,12,10,45,884
a-O,English(US),English_lowback,1,Unconditioned,5,14,535,332
U-O,English(US),English_lowback,0,Unconditioned,6,10,94,332
$-O,English(US),English_lowback,0,Unconditioned,11,36,1965,332
oi-$r,English(US),English_schwa,1,Unconditioned,2,5,38,834
ai-$r,English(US),English_schwa,0,Unconditioned,23,24,408,834
ei-$r,English(US),English_schwa,0,Unconditioned,25,28,472,834
au-$r,English(US),English_schwa,0,Unconditioned,9,17,143,834
ou-$r,English(US),English_schwa,0,Unconditioned,21,24,383,834
i-$r,English(US),English_schwa,0,Unconditioned,61,45,1024,834
u-$r,English(US),English_schwa,0,Unconditioned,18,13,301,834
I-E,English(US),English_nasal,1,Conditioned,8,811,464,152
ae-E,English(US),English_nasal,0,Conditioned,9,561,201,152
$-E,English(US),English_nasal,0,Conditioned,7,918,710,152
i-I,English(US),English_liquid,1,Conditioned,13,537,38,92
u-U,English(US),English_liquid,1,Conditioned,2,125,17,21
U-ou,English(US),English_liquid,1,Conditioned,3,166,17,50
$-O,English(US),English_liquid,1,Conditioned,0,1491,402,47
$-U,English(US),English_liquid,1,Conditioned,0,263,17,402
E-ei,English(US),English_liquid,1,Conditioned,12,254,41,84
$-ou,English(US),English_liquid,1,Conditioned,0,727,50,402
I-E,English(US),English_liquid,0,Conditioned,10,986,84,92
I-$,English(US),English_liquid,0,Conditioned,1,1141,92,402
U-O,English(US),English_liquid,0,Conditioned,3,239,17,47
U-au,English(US),English_liquid,0,Conditioned,3,27,17,3
ou-au,English(US),English_liquid,0,Conditioned,3,39,3,50
$-E,English(US),English_liquid,0,Conditioned,1,1527,84,402
$-a,English(US),English_liquid,0,Conditioned,2,275,40,402
$-ei,English(US),English_liquid,0,Conditioned,1,277,41,402
$-au,English(US),English_liquid,0,Conditioned,0,53,3,402
I-ei,English(US),English_liquid,0,Conditioned,16,219,41,92
i-ei,English(US),English_liquid,0,Conditioned,17,176,38,41
A-O,English(US),English_liquid,0,Conditioned,0,249,47,40
ae-E,English(US),English_liquid,0,Conditioned,1,232,39,84
A-ae,English(US),English_liquid,0,Conditioned,2,91,39,40
O-ou,English(US),English_liquid,0,Conditioned,10,633,47,50
O-au,English(US),English_liquid,0,Conditioned,0,50,3,47
u-ou,English(US),English_liquid,0,Conditioned,9,255,21,50
u-au,English(US),English_liquid,0,Conditioned,0,33,3,21
f-v,Dutch,Dutch_devoicing,1,Unconditioned,1,12,627,378
s-z,Dutch,Dutch_devoicing,1,Unconditioned,3,29,1612,396
X-Y,Dutch,Dutch_devoicing,1,Unconditioned,0,6,883,320
t-d,Dutch,Dutch_devoicing,0,Unconditioned,23,85,2314,843
p-b,Dutch,Dutch_devoicing,0,Unconditioned,33,32,959,681
v-b,Dutch,Dutch_devoicing,0,Unconditioned,36,42,681,627
v-z,Dutch,Dutch_devoicing,0,Unconditioned,16,51,627,396
v-m,Dutch,Dutch_devoicing,0,Unconditioned,26,50,627,746
v-w,Dutch,Dutch_devoicing,0,Unconditioned,18,56,627,490
z-d,Dutch,Dutch_devoicing,0,Unconditioned,24,93,843,396
z-l,Dutch,Dutch_devoicing,0,Unconditioned,22,50,396,1543
z-n,Dutch,Dutch_devoicing,0,Unconditioned,8,62,396,1419
z-Y,Dutch,Dutch_devoicing,0,Unconditioned,4,14,396,320
h-Y,Dutch,Dutch_devoicing,0,Unconditioned,0,3,320,351
j-Y,Dutch,Dutch_devoicing,0,Unconditioned,4,17,464,320
N-Y,Dutch,Dutch_devoicing,0,Unconditioned,0,5,320,286
E-e,French,French_midvowels,1,Unconditioned,35,58,995,1767
oe-O$,French,French_midvowels,1,Unconditioned,0,4,127,103
O-o,French,French_midvowels,1,Unconditioned,7,29,340,843
u-o,French,French_midvowels,0,Unconditioned,83,53,843,474
O-a,French,French_midvowels,0,Unconditioned,44,59,340,1972
a-E,French,French_midvowels,0,Unconditioned,101,154,995,1972
a-oe,French,French_midvowels,0,Unconditioned,16,20,127,1972
O$-E,French,French_midvowels,0,Unconditioned,20,21,995,103
oe-E,French,French_midvowels,0,Unconditioned,12,19,127,995
O$-e,French,French_midvowels,0,Unconditioned,28,33,1767,103
e-i,French,French_midvowels,0,Unconditioned,68,95,1767,1414
y-e,French,French_midvowels,0,Unconditioned,27,55,1767,424
y-i,French,French_midvowels,0,Unconditioned,34,65,1414,424
E-oe,French,French_nasals,1,Unconditioned,3,13,264,13
O-oe,French,French_nasals,0,Unconditioned,3,16,490,13
A-oe,French,French_nasals,0,Unconditioned,7,12,823,13
L-j,Spanish,Spanish_L,1,Unconditioned,1,14,141,279
L-l,Spanish,Spanish_L,0,Unconditioned,7,31,141,908
L-N,Spanish,Spanish_L,0,Unconditioned,2,11,141,82
L-l,Slovak,Slovak_L,1,Unconditioned,1,18,175,1053
L-j,Slovak,Slovak_L,0,Unconditioned,1,12,175,303
L-N,Slovak,Slovak_L,0,Unconditioned,1,5,175,70
L-J,Slovak,Slovak_L,0,Unconditioned,0,3,175,30
ae-E,Slovak,Slovak_ae,1,Unconditioned,0,7,36,2525
ae-a,Slovak,Slovak_ae,1,Unconditioned,1,7,36,3193
n-l,Cantonese,Cantonese_n,1,Conditioned,21,4,60,226
n-t,Cantonese,Cantonese_n,0,Conditioned,20,4,60,209
n-th,Cantonese,Cantonese_n,0,Conditioned,13,1,60,148
n-s,Cantonese,Cantonese_n,0,Conditioned,11,3,60,335
n-ts,Cantonese,Cantonese_n,0,Conditioned,19,6,60,260
n-tsh,Cantonese,Cantonese_n,0,Conditioned,21,18,60,218
2_5,Cantonese,Cantonese_tones,1,Unconditioned,84,34,268,1069
2_1,Cantonese,Cantonese_tones,0,Unconditioned,343,81,1069,1908
2_3,Cantonese,Cantonese_tones,0,Unconditioned,285,90,884,1069
6_5,Cantonese,Cantonese_tones,0,Unconditioned,68,30,268,985
3_5,Cantonese,Cantonese_tones,0,Unconditioned,75,17,268,884